DateTime,AddedIPs,RemovedIPs
1612193581,20,24
1612197182,23,21
1612200781,12,14
1612204381,23,22
1612207981,24,18
1612211581,24,23
1612215181,23,21
1612218782,11,14
1612222381,22,22
1612225981,23,23
1612229581,17,15
1612233181,17,18
1612236781,15,17
1612240382,19,18
1612243982,20,21
1612247581,6,5
1612251182,17,21
1612254781,25,20
1612258381,12,14
1612261981,15,12
1612265581,18,20
1612269181,20,24
1612272781,23,21
1612276381,18,21
1612279981,19,17
1612283581,22,22
1612287182,23,22
1612290781,25,25
1612294381,20,21
1612297981,17,17
1612301582,22,19
1612305181,13,14
1612308781,4,4
1612312381,17,18
1612315982,25,21
1612319582,19,19
1612323182,21,20
1612326782,18,22
1612330381,20,19
1612333982,27,27
1612337581,17,21
1612341181,17,15
1612344782,18,19
1612348381,16,14
1612351982,13,16
1612355581,17,17
1612359182,21,20
1612362781,18,18
1612366381,20,20
1612369981,17,19
1612373581,30,26
1612377181,18,19
1612380781,22,19
1612384381,21,24
1612387981,19,16
1612391581,17,20
1612395181,21,22
1612398781,18,16
1612402382,20,20
1612405981,25,25
1612409581,23,20
1612413182,21,25
1612416781,19,18
1612420381,21,18
1612423981,17,16
1612427581,15,19
1612431181,24,22
1612434781,22,21
1612438381,16,18
1612441982,19,19
1612445581,19,19
1612449181,21,22
1612452782,19,19
1612456382,22,20
1612459982,24,26
1612463581,21,19
1612467182,24,24
1612470781,20,21
1612474381,19,19
1612477981,16,15
1612481581,22,21
1612485182,20,22
1612488781,20,18
1612492381,15,16
1612495982,19,16
1612499581,13,14
1612503181,24,28
1612506782,25,24
1612510381,24,26
1612513982,17,16
1612517582,29,27
1612521181,15,16
1612524781,15,16
1612528381,18,21
1612531982,19,17
1612535582,20,20
1612539182,18,20
1612542782,22,21
1612546382,20,23
1612549982,24,19
1612553581,13,15
1612557181,19,17
1612560781,20,18
1612564381,18,18
1612567982,17,20
1612571581,20,16
1612575181,8,8
1612578781,11,13
1612582381,21,20
1612585981,13,16
1612589582,19,17
1612593181,19,17
1612596782,17,21
1612600385,17,18
1612603981,19,16
1612607581,17,22
1612611182,21,14
1612614781,14,18
1612618381,23,23
1612621981,24,24
1612625581,23,22
1612629181,19,20
1612632781,17,16
1612636381,19,20
1612639981,21,20
1612643582,19,22
1612647182,20,16
1612650781,17,19
1612654381,19,16
1612657981,14,17
1612661581,25,26
1612665181,23,24
1612668781,12,11
1612672381,16,16
1612675981,24,22
1612679582,18,19
1612683181,21,17
1612686781,16,15
1612690382,17,22
1612693981,18,15
1612697581,23,18
1612701181,22,28
1612704781,17,19
1612708382,17,16
1612711982,23,22
1612715581,5,6
1612719181,19,20
1612722781,14,16
1612726381,20,17
1612729981,17,19
1612733581,25,22
1612737181,20,24
1612740781,16,14
1612744381,23,22
1612747981,17,15
1612751582,15,12
1612755181,18,17
1612758782,21,25
1612762382,16,17
1612765981,23,22
1612769581,15,16
1612773181,14,13
1612776782,18,19
1612780381,22,21
1612783981,19,22
1612787582,25,24
1612791182,22,22
1612794781,20,20
1612798381,22,22
1612801981,20,19
1612805581,21,23
1612809182,28,29
1612812781,18,19
1612816381,15,15
1612819981,17,16
1612823581,14,14
1612827621,25,26
1612830782,14,12
1612834381,14,17
1612837981,21,19
1612841581,14,13
1612845181,16,16
1612848782,20,19
1612852381,22,22
1612855982,13,13
1612859582,19,21
1612863182,13,13
1612866781,17,15
1612870381,15,16
1612873981,19,20
1612877581,25,24
1612881182,23,17
1612884781,11,16
1612888381,16,16
1612891982,23,24
1612895582,15,12
1612899182,19,21
1612902781,16,15
1612906381,22,21
1612909981,23,25
1612913581,18,19
1612917182,5,5
1612920781,17,20
1612924381,20,19
1612927981,23,22
1612931581,18,15
1612935182,17,20
1612938781,21,17
1612942382,20,21
1612945981,17,20
1612949582,15,14
1612953182,15,17
1612956781,22,21
1612960382,17,17
1612963981,16,15
1612967581,17,16
1612971181,18,21
1612974782,20,18
1612978381,21,23
1612981982,25,24
1612985581,17,17
1612989181,22,22
1612992782,11,10
1612996382,23,22
1612999981,17,18
1613003581,20,17
1613007182,19,19
